# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,-144.02008651285047,45.83031548625792,0.04466208846081987,22.390354648938036,0.0,0.0
 0.06759969772709636,0.011424297831986991,0.1689992443177409,2.5000000000000004,-144.02008651285047,45.64699422431289,0.04466208846081987,22.390354648938036,0.0,0.0
 0.09578582417995846,0.022937310284584785,0.408463804767637,8.495830771580895,-144.04943421878912,45.46367296236786,0.041604274605564144,24.035991721539602,-1.0412110364901286,-36.940550814296124
 0.11753747368545456,0.03453764430089731,0.5333082446635329,5.739538965279428,-144.07698243133862,45.28035170042283,0.0386725512785851,25.858133661684466,-1.2664884353970272,-10.356796106427545
 0.13597633083489954,0.04622390636830514,0.6337845113008852,5.449159122119273,-144.10278134828908,45.097030438477795,0.03585903587283063,27.88697397069929,-1.3991603026887924,-7.195232666345517
 0.1523085060693969,0.05799470255272878,0.7207120922607413,5.322474178224887,-144.12687844907651,44.91370917653276,0.03315638542610651,30.16010301329846,-1.4754373156947176,-4.670352351155913
 0.16715099584646578,0.06984863853116308,0.7986487547896575,5.250915695379186,-144.1493186485491,44.73038791458773,0.03055775309992174,32.724919163070304,-1.511889164798737,-2.455912023623974
 0.18086936680665794,0.08178431962260346,0.8700509066328093,5.204856469499616,-144.1701444396772,44.5470666526427,0.028056746827976313,35.642050952352996,-1.5180950557834643,-0.4523781287687602
 0.19370116243066146,0.09380035081747376,0.9364263230932985,5.1727301778657955,-144.1893960261258,44.36374539069767,0.025647395413161033,38.990313982793246,-1.5003033879850876,1.3865298606451728
 0.20581091983245542,0.1058953368057035,0.9987802056577919,5.149061248349713,-144.20711144561426,44.18042412875264,0.023324112166348013,42.87408639042639,-1.4629045736162738,3.088320692805408
 0.21731809128879576,0.11806788200351342,1.0578225278031272,5.130915305238074,-144.22332668455044,43.99710286680761,0.021081666362653944,47.43458049272113,-1.4091420291845698,4.6720903252103
 0.22831258447929134,0.1303165905790339,1.1140766894202188,5.116576147932092,-144.23807578481774,43.81378160486258,0.018915156086386015,52.867657841837186,-1.341498876916511,6.15245751632594
 0.23886403369016798,0.1426400664768443,1.1679415454236495,5.104972305406709,-144.25139094325763,43.630460342917544,0.01681998312350895,59.45309175740612,-1.2619269802429869,7.541323953064181
 0.24902763978441328,0.1550369134414888,1.2197291836864546,5.095399977388694,-144.26330260426923,43.44713908097251,0.014791826919505462,67.60490137167135,-1.1719916042735674,8.84876638620828
 0.2588480133515274,0.16750573504008134,1.2696891328398536,5.087377665621798,-144.27383954627138,43.26381781902748,0.012826627078639342,77.96281858582581,-1.0729675332768491,10.083534024441185
 0.26836179659857623,0.18004513468403904,1.3180245248752562,5.080564774312705,-144.28302896226538,43.08049655708245,0.010920562491305274,91.57037476743339,-0.9659055451844357,11.253355821999017
 0.27759950695203206,0.1926537156500283,1.364903258876524,5.074713560782992,-144.29089653503286,42.897175295137416,0.009070032749059506,110.25318515015202,-0.8516799581740071,12.36514056404644
 0.2865868671800435,0.20533008110017978,1.4104659353301852,5.06963950456256,-144.29746650733767,42.71385403319238,0.007271642970503211,137.52050314576957,-0.731023586252385,13.42511803917299
 0.2953457865632268,0.2180728341016278,1.4548316343581729,5.065202348267723,-144.30276174749199,42.53053277124735,0.0055221864245097235,181.0876930126065,-0.6045540462996757,14.438943255434529
 0.30389509877286747,0.23088057764542724,1.4981022133402409,5.0612935778943395,-144.30680381052474,42.34721150930232,0.0038186367126544734,261.87356254291694,-0.4727939433755257,15.41177812825342
 0.3122511262845348,0.24375191466490126,1.5403655626435047,5.057827926518022,-144.30961299541337,42.16389024735729,0.0021581235514719524,463.36550069987794,-0.3361866490670004,16.34835382217017
 0.32042811864970366,0.2566854480534715,1.581698112335598,5.0547374690180025,-144.31120839849885,41.980568985412255,0.0005379321693069846,1858.970437273337,-0.1951087899081933,17.25302566745068
 0.32843859741631865,0.2696797806819966,1.6221667901650507,5.051967430225615,-144.31160796339643,41.79724772346722,0.0010445046750721392,957.3915980136082,-0.04988027672508568,18.129816882902418
 0.3362936308737874,0.282733515415688,1.66183057072527,5.0494731531036505,-144.31082852765894,41.61392646152219,0.002591646792286356,385.85504898906305,0.09922755157113547,18.98245616693664
 0.3440030552949273,0.2958452551306121,1.7007417154217876,5.047217868797025,-144.3088858663371,41.43060519957716,0.004105806065955867,243.55753387664973,0.25198526060028603,19.81441164534611
 0.35157565486242043,0.3090136027298495,1.738946775393372,5.045171031568495,-144.30579473271865,41.247283937632126,0.005589194936519578,178.9166438740649,0.40819979861515265,20.628918328845536
 0.35901930931876597,0.3222371611593095,1.7764874104529693,5.043307058348841,-144.3015688963066,41.063962675687094,0.007043925369789023,141.9662968447878,0.5677099114203449,21.42900556986677
 0.3663411161326382,0.3355145334232679,1.8134010636285154,5.0416043626837785,-144.29622117837175,40.88064141374206,0.008472005842360627,118.03580150994816,0.7303822773251285,22.217516801532806
 0.37354749234850204,0.34884432259963566,1.8497215212028546,5.040044605829037,-144.28976348502266,40.69732015179703,0.009875358896690353,101.26214251667774,0.8961082735117215,22.99713354151149
 0.38064426009333235,0.3622251318550013,1.885479381104589,5.038612110109191,-144.28220683813345,40.513998889852004,0.011255822142174502,88.84291057275101,1.0648012110456013,23.77039007043244
